No,Shop Code,Date,Time,Item Sold,Conversation Details,StA,StB,StC,Pattern,,,ClipName,Stage-1,Stage-2,Stage-3,Stage-4,Stage - 5,Stage where goodday name used,Stage where black-wala etc used,stage where britannia word used
34,Pn/shivajinagar/1,6/1/2023,17.41.00,Harmony,15/15 Wale Ke Good Day Do 2,bp,yes,bp,"Black wala, Chocolate wala, 15 wala",15 Wala,,06-01-23-17-41,15 Wala Good Day,Harmony,Purchased,,Yes,1,1,
35,Pn/shivajinagar/1,7/1/2023,10.03.15,Harmony,O Biscuit Do Wo Wala 2 De Do White Wala Aur 5 Wala Krack Jack De Do Aur 15 Good Day De Do Achchi Wali Dedo Bas Sab De Do,bp,yes,bp,"Black wala, Chocolate wala, 15 wala",15 Wala,,07-01-23-10-03,15 Wala Good Day,Harmony,Purchased,,Yes,1,1,
36,Pn/shivajinagar/1,7/1/2023,10.34.15,Harmony,15 Wala Good Day De,bp,yes,bp,"Black wala, Chocolate wala, 15 wala",15 Wala,,07-01-23-10-34,15 Wala Good Day,Harmony,Purchased,,Yes,1,1,
37,Pn/shivajinagar/1,8/1/2023,09.54.50,Harmony,Dussara Biscuit Viscuit Ek Bacha Hain Tumhare Liya Lata Hu May/ Hormony Sale By ShopKeeper,no,yes,H,Offered & Purchased,,,08-01-23-09-54,Biscuit,15 Wala Good Day,Purchased,,Yes,2,2,
38,Pn/karvenagar/1,11/1/2023,10.10.55,Harmony,"2 15 Wala Good Day, 1 15 Wala Good Day Do -Nahi Hain 10 Wala Good Day Hain - Orange Colour Ka 1 Do Aur 1 Yellow Do -Orange Nahi Hain -Muze 15 Wala Good Day Chahiye -15 Wala Nahi Hain (2 Good Day Blue Purchased)",bp,no,bp,Possible Sale,15 Wala,,11-01-23-10-10,15 Wala Good Day,No,Not Purchased,,NO,1,1,
39,Pn/karvenagar/1,2/12/2022,17.54.30,Harmony,"Biscuit Konte A / Good Day, Parleg,Krack Jack,Monaco/Good Day Dakhava Navin Ale Hain Ka Hey /Ha Navin Ahe/Ajun Ek Dya ",b,yes,b,Offered & Purchased,,,02-12-22-17-54,Good Day,Good Day,Purchased,,Yes,1,,
40,Pn/karvenagar/1,25/12/2022,17.38.00,Harmony,Biscuit Ahe Ka Oh../Hain Na /Kuthala Ahe To Lal Puda/Kuthala /Marie Ahe Ka /Ha Marie Hain Na /To Dya Na Ek Good Day Cha Ahe Ka Kuthala /Hain Na To Bhi Dya Ek Hey Kuthale Good Day 15 Wala Ahe Ka 10 Wala Nahiy/Nahi Ha 15 Wala Ahe,no,yes,bp,Offered & Purchased,,,25-12-22-17-38,Good Day,15 Wala Good Day,Purchased,,Yes,1,2,
41,Pn/karvenagar/1,27/12/2022,16.31.35,Harmony,Biscuit Dya Br Ek Manaco To Krack Jack Bhi Dya To Black Wala Konta Ahe /Good Day Ahe /Good Day Dakhava Thik Kiti Cha Ahe /15 /Thik Ahe 2 Dya,c,yes,bp,"Black wala, Chocolate wala, 15 wala",Chocolate Goodday,,27-12-22-16-31,Kala Wala,Good Day,Purchased,,Yes,2,1,
42,Pn/karvenagar/1,29/12/2022,20.16.04,Harmony,Good Day Biscuit Dya Kaku,b,yes,b,Offered & Purchased,,,29-12-22-20-16,Good Day,Harmony,Purchased,,Yes,1,,
43,Pn/karvenagar/1,30/12/2022,21.14.02,Harmony,Good Day Biscuit Ahe Ka /Ahe Na /Dya Br /15 Wala Ahe /Thik Ahe Aankhi 1 Dya,b,yes,bp,Offered & Purchased,,,30-12-22-21-14,Good Day,15 Wala,Purchased,,Yes,1,,
44,Pn/karvenagar/1,3/1/2023,17.31.30,Harmony,Good Day Cha Ahe Ka /Good day 15 Wala Ahe /Dya 2,b,yes,bp,Offered & Purchased,,,03-01-23-17-31,Good Day,15 Wala,Purchased,,Yes,1,2,
45,Pn/karvenagar/1,3/1/2023,14.46.15,Harmony,Oreo Ahe To Happy Happy Hain Ka /5 Wala Ahe /10 Nahi Ka To Konta Ahe Black Wala /Good day /Dya Ek To Cream Cha 5 La Ahe Na To Ek Dya,no,yes,bc,"Black wala, Chocolate wala, 15 wala",Chocolate Goodday,,03-01-23-14-46,Kala Wala,15 Wala Good Day,Purchased,,Yes,2,1,
46,Pn/karvenagar/1,3/1/2023,18.53.30,Harmony,Biscuit Dya Na Good Day Ahe Ka/Good Day 15 Wala Ahe /Dusare Konte Ahe Tiger Vaggare /Tiger Nahi Na/ Bourbon Ahe Ka,b,no,bp,Offered & Not Purchased,,,03-01-23-18-53,Good Day,15 Wala,Not Purchased,,NO,1,2,
47,Pn/karvenagar/1,04/01/2023,12.26.00,Harmony,"10 Wale Biscuit Parle/Parle Nahi Na Krack Jack,Monaco Nahi Hy Dussare Kuthala Ahe /Good Day.Good Day Ahe 15 Wala /Dya 15 Wala",no,yes,bp,Offered & Purchased,,,04-01-23-12-26,Good Day,15 Wala,Purchased,,Yes,1,2,
48,Pn/karvenagar/1,4/1/2023,18.07.10,Harmony,"Biscuit Kuthala Ahe Ka /Bourbon,Good Day Harmony/Kiti La Ahe /Good Day Harmony 15 ,Monaco,Krack Jack 10 /Dya Mag Krack Jack",no,no,H,Offered & Not Purchased,,,04-01-23-18-07,Biscuit,Good Day Harmony,Not Purchased,,NO,2,,
49,Pn/karvenagar/1,05/01/2023,11.37.48,Harmony,1 Biscuit Puda Dya 10 Wala Dya To Chocolate Dya /To 15 La Ahe/10 Nahi Ye Ka To Nahi To Dusara Orange colour Cha Ha To,f,no,f,Offered & Not Purchased,,,05-01-23-11-37,Biscuit,15 Wala,Not Purchased,,NO,,2,
50,Pn/karvenagar/1,06/01/2023,11.17.48,Harmony,Good Day Hai? / 15 wala Hain,b,yes,bp,Offered & Purchased,,,06-01-23-11-17,Good Day,15 Wala,Purchased,,Yes,1,2,
51,Pn/karvenagar/1,09/01/2023,22.16.35,Harmony,"Biscuit Dya,  Konate, Cream Wala Gyaycha Ka Good Day Gyaycha Black Wala Good Day / Kiti 1 Ka 2 / 1 Ch, Navin He konte Ahe / Harmony Mhanun Yete",no,yes,H,Offered & Purchased,,,09-01-23-22-16,Good Day Black Wala,Harmony,Purchased,,Yes,1,1,
